,index,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Fajr_start,Fajr_end,Dhuhr_start,Dhuhr_end,Asr_start,Asr_end,Maghrib_start,Maghrib_end,Isha_start,Isha_end,SleepStart,SleepEnd,NapStart,NapEnd
31,2023-06-01,02:09 AM,04:30,12:40 PM,05:00 PM,08:50 PM,10:58 PM,03:42 AM,03:47 AM,12:40 PM,12:45 PM,05:00 PM,05:05 PM,08:50 PM,08:55 PM,10:58 PM,11:03 PM,10:09 PM,02:09 AM,01:10 PM,02:10 PM
32,2023-06-02,02:08 AM,04:29,12:40 PM,05:01 PM,08:51 PM,10:59 PM,03:42 AM,03:47 AM,11:40 AM,01:40 PM,05:01 PM,05:06 PM,08:51 PM,08:56 PM,10:59 PM,11:04 PM,10:08 PM,02:08 AM,01:10 PM,02:10 PM
33,2023-06-03,02:08 AM,04:28,12:41 PM,05:01 PM,08:52 PM,11:00 PM,03:42 AM,03:47 AM,12:41 PM,12:46 PM,05:01 PM,05:06 PM,08:52 PM,08:57 PM,11:00 PM,11:05 PM,10:08 PM,02:08 AM,01:11 PM,02:11 PM
34,2023-06-04,02:08 AM,04:28,12:41 PM,05:02 PM,08:53 PM,11:00 PM,03:42 AM,03:47 AM,12:41 PM,12:46 PM,05:02 PM,05:07 PM,08:53 PM,08:58 PM,11:00 PM,11:05 PM,10:08 PM,02:08 AM,01:11 PM,02:11 PM
35,2023-06-05,02:08 AM,04:27,12:41 PM,05:02 PM,08:54 PM,11:01 PM,03:42 AM,03:47 AM,12:41 PM,12:46 PM,05:02 PM,05:07 PM,08:54 PM,08:59 PM,11:01 PM,11:06 PM,10:08 PM,02:08 AM,01:11 PM,02:11 PM
36,2023-06-06,02:08 AM,04:26,12:41 PM,05:02 PM,08:55 PM,11:01 PM,03:42 AM,03:47 AM,12:41 PM,12:46 PM,05:02 PM,05:07 PM,08:55 PM,09:00 PM,11:01 PM,11:06 PM,10:08 PM,02:08 AM,01:11 PM,02:11 PM
37,2023-06-07,02:08 AM,04:26,12:41 PM,05:03 PM,08:56 PM,11:02 PM,03:42 AM,03:47 AM,12:41 PM,12:46 PM,05:03 PM,05:08 PM,08:56 PM,09:01 PM,11:02 PM,11:07 PM,10:08 PM,02:08 AM,01:11 PM,02:11 PM
38,2023-06-08,02:07 AM,04:25,12:41 PM,05:03 PM,08:57 PM,11:02 PM,03:42 AM,03:47 AM,12:41 PM,12:46 PM,05:03 PM,05:08 PM,08:57 PM,09:02 PM,11:02 PM,11:07 PM,10:07 PM,02:07 AM,01:11 PM,02:11 PM
39,2023-06-09,02:07 AM,04:25,12:42 PM,05:04 PM,08:58 PM,11:03 PM,03:42 AM,03:47 AM,11:42 AM,01:42 PM,05:04 PM,05:09 PM,08:58 PM,09:03 PM,11:03 PM,11:08 PM,10:07 PM,02:07 AM,01:12 PM,02:12 PM
40,2023-06-10,02:07 AM,04:24,12:42 PM,05:04 PM,08:59 PM,11:03 PM,03:42 AM,03:47 AM,12:42 PM,12:47 PM,05:04 PM,05:09 PM,08:59 PM,09:04 PM,11:03 PM,11:08 PM,10:07 PM,02:07 AM,01:12 PM,02:12 PM
